cash_flow,own_supporting,user_other,trust_fund,exp_type,gov_level,description,state,state_code,year,estimate_actual,value,mode,deflator,chained,gov_level_sort_order,mode_sort_order,user_other_grp,chained_year,state_code_sort_order,population,value_per_pop,chained_per_pop
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,New York,NY,2020,Actual,1030641000,Highways,106.515,967601746.2,1,0,Other,2017,38,20203772,51.01230602,47.89213352
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,New York,NY,2021,Actual,610966000,Highways,116.734,523383076.1,1,0,Other,2017,38,19848276,30.78181702,26.3691958
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,New York,NY,2022,Actual,628061000,Highways,128.921,487167335,1,0,Other,2017,38,19703747,31.87520627,24.72460365
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,North Carolina,NC,2020,Actual,0,Highways,106.515,0,1,0,Other,2017,31,10441499,0,0
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,North Carolina,NC,2021,Actual,0,Highways,116.734,0,1,0,Other,2017,31,10564320,0,0
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,North Carolina,NC,2022,Actual,0,Highways,128.921,0,1,0,Other,2017,31,10710793,0,0
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,North Dakota,ND,2020,Actual,10875000,Highways,106.515,10209829.6,1,0,Other,2017,32,779046,13.95938109,13.10555423
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,North Dakota,ND,2021,Actual,18166000,Highways,116.734,15561875.72,1,0,Other,2017,32,777966,23.35063486,20.00328513
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,North Dakota,ND,2022,Actual,14048000,Highways,128.921,10896595.59,1,0,Other,2017,32,781057,17.98588323,13.95108883
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Ohio,OH,2020,Actual,524110000,Highways,106.515,492052762.5,1,0,Other,2017,39,11799453,44.41816074,41.70131976
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Ohio,OH,2021,Actual,592643000,Highways,116.734,507686706.5,1,0,Other,2017,39,11767344,50.36336152,43.14369551
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Ohio,OH,2022,Actual,629399000,Highways,128.921,488205179.9,1,0,Other,2017,39,11777874,53.43910115,41.45104455
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Oklahoma,OK,2020,Actual,0,Highways,106.515,0,1,0,Other,2017,40,3959405,0,0
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Oklahoma,OK,2021,Actual,0,Highways,116.734,0,1,0,Other,2017,40,3992238,0,0
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Oklahoma,OK,2022,Actual,0,Highways,128.921,0,1,0,Other,2017,40,4026229,0,0
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Oregon,OR,2020,Actual,51077000,Highways,106.515,47952870.49,1,0,Other,2017,41,4237224,12.05435445,11.31704873
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Oregon,OR,2021,Actual,54112000,Highways,116.734,46354960.85,1,0,Other,2017,41,4254280,12.71942608,10.89607662
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Oregon,OR,2022,Actual,79099000,Highways,128.921,61354628.03,1,0,Other,2017,41,4247372,18.62304503,14.44531537
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Pennsylvania,PA,2020,Actual,1015770000,Highways,106.515,953640332.3,1,0,Other,2017,42,13002909,78.11867329,73.34053729
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Pennsylvania,PA,2021,Actual,1240643000,Highways,116.734,1062794901,1,0,Other,2017,42,13015571,95.31990567,81.65564932
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Pennsylvania,PA,2022,Actual,1150466000,Highways,128.921,892380605.2,1,0,Other,2017,42,12984990,88.59968317,68.72401174
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Rhode Island,RI,2020,Actual,90895000,Highways,106.515,85335398.77,1,0,Other,2017,44,1097354,82.83106454,77.76469468
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Rhode Island,RI,2021,Actual,61064000,Highways,116.734,52310380.87,1,0,Other,2017,44,1097246,55.65205979,47.67425068
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Rhode Island,RI,2022,Actual,67085000,Highways,128.921,52035742.82,1,0,Other,2017,44,1099498,61.0142083,47.32681898
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,South Carolina,SC,2020,Actual,135000,Highways,106.515,126742.7123,1,0,Other,2017,45,5118252,0.026376192,0.02476289
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,South Carolina,SC,2021,Actual,57000,Highways,116.734,48828.96157,1,0,Other,2017,45,5194274,0.010973622,0.009400536
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,South Carolina,SC,2022,Actual,102507000,Highways,128.921,79511483.78,1,0,Other,2017,45,5287935,19.38507187,15.03639583
